Latitude	Longitude	MMI	Location
-34.8595	138.5164	3.0	Alberton
-35.0134	138.7318	3.0	Aldgate
-35.2691	138.4830	4.0	Aldinga
-33.8156	137.8221	3.0	Alford
-34.2669	138.6304	3.0	Alma
-34.7544	139.3083	4.0	Angas Valley
-34.5015	139.0449	6.0	Angaston
-36.9790	141.0913	6.0	Apsley
-37.2840	142.9235	4.0	Ararat
-34.0263	138.6846	4.0	Auburn
-37.0874	143.4640	3.0	Avoca
-37.6752	144.4492	3.0	Bacchus Marsh
-34.1418	138.4134	4.0	Balaklava
-34.9905	138.8278	4.0	Balhannah
-37.5583	143.8573	6.0	Ballarat
-37.2487	141.8419	6.0	Balmoral
-34.6358	143.5408	F	Balranald
-36.1028	146.6796	4.0	Barnawartha
-34.9405	138.7643	4.0	Basket Range
-37.0882	139.7230	F	Baudin Rocks
-37.4821	140.0098	7.0	Beachport
-37.4276	143.3824	5.0	Beaufort
-36.1799	143.6354	3.0	Beeac
-36.7574	144.2801	0.0	Bendigo
-NA-	-NA-	4.0	Bentley (Mount Gambier-Glenburnie area)
-35.9385	142.4200	4.0	Beulah
-35.9863	142.9115	3.0	Birchip
-35.0210	138.6190	4.0	Blackwood
-35.2408	138.9855	6.0	Bletchley
-37.0929	140.3860	7.0	Bloomfield Park (8 miles S of Lucindale)
-34.8192	138.9645	4.0	Blumberg
-36.1236	143.7515	5.0	Boort
-36.3103	140.7716	6.0	Bordertown
-36.9662	140.0388	6.0	Bowaka
-34.8843	139.6214	5.0	Bowhill
-37.8582	141.7943	4.0	Branxholme
-36.6023	143.9461	3.0	Bridgewater
-35.0215	138.5193	4.0	Brighton
-33.6954	138.4036	3.0	Brinkworth
-31.9650	141.4511	0.0	Broken Hill
-35.2319	138.7685	4.0	Bull's Creek
-37.6501	143.8815	4.0	Buninyong
-34.9399	138.6662	4.0	Burnside
-33.6700	138.9310	3.0	Burra
-37.9490	141.9529	4.0	Byaduk
-35.1165	139.0371	4.0	Callington
-33.1815	138.4838	4.0	Caltowie
-33.9674	139.0588	4.0	Camperdown
-35.7527	136.5932	3.0	Cape Borda
-36.9500	139.5960	F	Cape Jaffa Lighthouse (Margaret Brock Reef)
-36.9430	139.6770	7.0	Cafe Jaffa
-35.6061	138.1058	4.0	Cape Jervis
-38.4313	141.5432	4.0	Cape Nelson Lighthouse
-35.8426	138.1326	3.0	Cape Willoughby
-37.9472	142.5232	3.0	Caramut
-36.3175	140.4731	6.0	Carew-Kongal
-37.0430	143.8095	6.0	Carisbrook
-37.5859	141.4027	6.0	Casterton
-37.0632	144.2138	4.0	Castlemaine
-36.2668	143.3527	4.0	Charlton
-36.1556	146.6114	4.0	Chiltern
-33.8336	138.6121	4.0	Clare
-35.1103	138.6337	6.0	Clarendon
-37.2938	143.7871	4.0	Clunes
-35.9197	145.6436	3.0	Cobram
-38.3434	143.5870	3.0	Colac
-37.5988	141.6913	6.0	Coleraine
-37.8001	140.7283	6.0	Compton (Mt Gambier)
-37.1954	141.4658	5.0	Connewirricoo
-35.6969	139.8568	5.5	Coonalpyn
-35.0422	138.6244	3.0	Coromandel Valley
-37.4247	143.8881	4.0	Creswick
-37.0736	140.2845	F	Crower Station
-33.3515	138.2088	6.0	Crystal Brook
-35.4473	138.7640	6.0	Currency Creek
-37.3404	144.1427	3.0	Daylesford
-35.5261	144.9450	3.0	Deniliquin
-36.3205	141.4604	6.0	Diapur
-37.8015	141.5282	5.0	Digby
-36.4520	142.0311	6.0	Dimboola
-36.3710	142.9821	5.0	Donald
-34.4516	138.3490	F	Dublin
-37.6500	142.3450	3.0	Dunkeld
-36.8574	143.7315	4.0	Dunolly
-36.1282	144.7499	4.0	Echuca
-35.1032	138.7965	6.0	Echunga
-36.8755	143.8642	4.0	Eddington
-34.6401	139.0972	4.0	Eden Valley
-37.0345	141.2963	6.0	Edenhope
-35.0845	137.7447	4.0	Edithburg
-36.5235	144.4982	4.0	Egerton
-36.4949	144.6075	4.0	Elmore
-37.8868	145.0065	3.0	Elsternwick
-34.1753	139.0853	4.0	Eudunda
-33.8295	138.7951	5.0	Farrell Flat (Farell's Flat)
-35.4516	143.7281	4.0	Fish Point
-33.8516	139.4231	0.0	Florieton
-36.7130	140.9533	6.0	Frances
-34.4548	138.8098	4.0	Freeling
-37.1510	141.8480	F	Fulham (Balmoral area)
-34.5945	138.7482	5.5	Gawler
-38.1476	144.3549	4.0	Geelong
-33.3617	138.3935	4.0	Georgetown
-37.7688	140.4376	4.0	German Flat
-37.6916	140.6126	6.0	Glencoe
-34.9808	138.5141	4.0	Glenelg
-36.9053	142.6646	4.0	Glenorchy
-38.2028	143.0770	4.0	Gnotuk
-35.5015	138.7818	5.0	Goolwa
-37.5708	144.1072	4.0	Gordon
-36.7171	141.4738	4.0	Goroke
-34.0753	138.2354	6.0	Goyder
-35.5644	138.6301	F	Granite Island
-34.0131	137.8482	4.0	Greens Plains
-34.4577	138.9274	4.0	Greenock
-34.8247	138.8829	4.0	Gumeracha
-34.0851	138.5157	4.0	Halbury
-33.4106	138.8931	F	Hallett
-37.7416	142.0148	6.0	Hamilton
-34.3568	138.6827	6.0	Hamley Bridge
-37.1665	141.5926	5.5	Harrow
-38.1335	141.6290	4.0	Heywood
-35.4753	138.6017	5.5	Hindmarsh Valley
-34.8760	138.5333	4.0	Holden
-35.7288	142.3635	3.0	Hopetoun
-36.7074	142.2009	5.0	Horsham
-37.9304	141.5585	4.0	Hotspur
-34.0232	138.5615	4.0	Hoyleton
-36.5738	143.8737	3.0	Inglewood
-33.2032	138.6006	3.0	Jamestown
-36.1405	141.9877	4.0	Jeparit
-37.0873	140.3855	6.5	Joyce
-36.6221	142.4204	4.0	Jung Jung
-33.9650	137.7130	4.0	Kadina
-35.7154	143.0521	4.0	Kaneira
