Latitude	Longitude	MMI	Location
-35.0134	138.7318	5.0	Aldgate
-35.2691	138.4830	6.0	Aldinga
-34.2669	138.6304	4.0	Alma
-34.5015	139.0449	5.0	Angaston
-33.0494	138.4278	4.0	Appila Yarrowie
-36.9790	141.0913	4.0	Apsley
-34.4229	137.9155	4.0	Ardrossan
-34.2592	137.7556	5.0	Arthurton
-34.0263	138.6846	4.0	Auburn
-34.3012	138.9829	4.0	Bagot Well
-34.1443	138.4139	4.0	Balaklava
-34.9905	138.8278	7.0	Balhannah
-37.4821	140.0098	4.0	Beachport
-34.3502	139.6115	4.0	Blanchetown
-34.8192	138.9645	4.0	Blumberg
-36.3103	140.7716	3.0	Bordertown
-34.8633	137.4967	7.0	Brentwood
-33.6954	138.4036	4.0	Brinkworth
-31.9567	141.4678	3.0	Broken Hill
-32.4617	138.1990	4.0	Bruce
-33.3083	138.5966	3.0	Bundaleer
-33.6700	138.9310	4.0	Burra
-33.8647	138.0063	4.0	Bute
-35.1165	139.0371	4.0	Callington
-33.3049	138.7672	4.0	Canowie
-35.7527	136.5932	4.0	Cape Borda
-36.9430	139.6770	4.0	Cape Jaffa
-37.5859	141.4027	3.0	Casterton
-34.8226	138.8339	4.0	Chain of Ponds
-34.8103	138.8090	4.0	Chetwynd
-35.1103	138.6337	5.0	Clarendon
-34.9240	137.0828	5.0	Corny Point
-35.0422	138.6244	5.0	Coromandel Valley
-33.3515	138.2088	4.0	Crystal Brook
-34.6974	137.7111	5.0	Curramulka
-32.7788	138.5556	4.0	Delamere
-37.3697	141.2156	3.0	Dergholm
-35.7356	137.9167	5.0	Dudley / Hog Bay
-35.1032	138.7965	5.5	Echunga
-35.0845	137.7447	4.0	Edithburgh
-34.1753	139.0853	5.0	Eudunda
-34.4548	138.8098	4.0	Freeling
-34.5945	138.7482	5.0	Gawler
-33.3617	138.3935	5.0	Georgetown
-33.2692	138.3543	3.0	Gladstone
-34.7951	138.6948	5.0	Golden Grove
-35.5015	138.7818	4.0	Goolwa
-36.7171	141.4738	2.0	Goroke
-34.0131	137.8482	5.0	Green Plains
-34.8247	138.8829	4.0	Gumeracha
-33.4106	138.8931	4.0	Hallett
-34.3568	138.6827	4.0	Hamley Bridge
-32.5214	138.3135	4.0	Hammond
-34.9070	138.5699	3.0	Hindmarsh
-35.4753	138.6017	5.5	Hindmarsh Valley
-36.7074	142.2009	3.0	Horsham
-34.0232	138.5615	4.0	Hoyleton
-36.1405	141.9877	4.0	Jeparit
-35.6056	138.1063	4.0	Jervis
-33.9650	137.7130	4.0	Kadina
-34.3414	138.9153	5.0	Kapunda
-36.8326	139.8486	3.0	Kingston
-33.5860	138.3332	4.0	Koolunga
-34.8263	138.4961	3.0	Largs Bay
-33.1851	138.3016	5.0	Laura
-34.9045	138.8747	4.0	Lobethal
